title,date,body
El presidente se reunió con destinatarias del Programa Acompañar,Viernes 02 de junio de 2023,"El presidente Alberto Fernández compartió un encuentro esta mañana en la Residencia de Olivos, junto a la ministra de las Mujeres, Géneros y Diversidad, Ayelén Mazzina, con destinatarias del programa Acompañar, en las vísperas del 8° aniversario de la movilización bajo la consigna Ni Una Menos, que busca concientizar sobre la violencia por motivos de género y su manifestación más extrema como son los femicidios.“Fue un encuentro cálido y se puso en valor una política pública implementada por este Gobierno Nacional, que muestra el compromiso y la convicción política en la temática”, describió Mazzina y destacó que ya se acompañó a “más de 297 mil mujeres y LGBTI+ en situación de violencia por motivos de género desde que se creó el programa”.El programa Acompañar está dirigido a mujeres y LGBTI+ en situación de violencia de género de todo el país con el objetivo principal de fortalecer su independencia económica. Contempla un apoyo económico equivalente al Salario Mínimo, Vital y Móvil por 6 meses y acompañamiento integral para el fortalecimiento psicosocial por parte de equipos interdisciplinarios de las Unidades de Acompañamiento (UdA), conformadas por provincias, municipios y la Ciudad de Buenos Aires.La ministra recordó que “el 3 de junio de 2015 marcó un antes y un después en la sociedad”. En ese sentido, aseguró que ""la creación del Ministerio de las Mujeres, Género y Diversidad de la Nación, y la generación de políticas públicas integrales, con presupuesto, fue parte de las estrategias del Estado para brindar herramientas y dar respuesta a la problemática”.El ingreso al programa se realiza a partir de entrevistas y de la elaboración de un informe social de riesgo por medio del Sistema Integrado de Casos de Violencia por motivos de Género (SICVG). En la actualidad ya se constituyeron Unidades de Acompañamiento que brindaron apoyo a 297 mil destinatarias, e implicó una inversión del Gobierno Nacional de casi 73 mil millones de pesos.También participaron de la actividad la jefa de Gabinete de Asesores del Ministerio de las Mujeres, Géneros y Diversidad, Érica Laporte; la secretaria de Igualdad y Diversidad, Paulina Calderón; y la asistente técnica del Programa Acompañar, Milagros Martin.  "
Fernández y Arce inauguraron un electroducto que permitirá mejorar el abastecimiento de energía eléctrica,Jueves 01 de junio de 2023,"El presidente Alberto Fernández inauguró hoy en la localidad de Yaguacua, en Bolivia, junto a su par Luis Arce, el electroducto Juana Azurduy de Padilla, la primera vinculación eléctrica entre ambos países que permitirá mejorar el abastecimiento de energía y favorecer su suministro a las poblaciones de zonas fronterizas.""Los dos compartimos las miradas de poner igualdad y justicia en nuestros pueblos. De preservar y respetar el Estado de derecho. De proclamar la unidad de las fuerzas populares y de construir una América Latina que se integre”, destacó el mandatario argentino.Tras agradecer a Luis Arce “por el enorme trabajo que ha hecho tu patria en favor de la Argentina”, Alberto Fernández celebró ser ""el segundo presidente argentino que viene a Yacuiba"" después de Juan Domingo Perón, y expresó ""el orgullo de que sea para algo tan importante como la puesta en marcha de esta planta que se interconecta para llevar a la Argentina electricidad producida por hermanos y hermanas de Bolivia”.El Presidente argentino se refirió además al Encuentro de Países de América del Sur, que se desarrolló el martes pasado en Brasilia y reafirmó la importancia de ""volver a poner en marcha la UNASUR"", al tiempo que aseveró que ""Bolivia y Argentina ya son parte, nunca nos fuimos, a pesar de que, en un tiempo, algunos lugares del mundo hicieron todo lo posible para desintegrarnos, para romper la democracia"".El Presidente de Bolivia también se refirió a la UNASUR y aseguró que ese bloque ""tiene que continuar, hay que fortalecerlo para que podamos caminar por una senda de desarrollo y de progreso entre todos los países que conformamos este proceso integrador tan importante"".Sobre la inauguración de la obra, Luis Arce resaltó la importancia ""de dar inicio a las operaciones de esta hermosa planta ya que es un proyecto importante por el que dos hermanos países consolidan la integración y la cooperación entre países de Sudamérica"", temas que fueron abordados por los mandatarios durante una reunión bilateral que mantuvieron previamente en la sede de la Planta Termoeléctrica.El electroducto Juana Azurduy fue impulsado a partir del Memorandum de Entendimiento para el Intercambio de Energía Eléctrica entre Argentina y Bolivia, suscripto el 27 de agosto de 2014 en el marco del fortalecimiento de la integración energética.Con ese objetivo se construyó el electroducto Juana Azurduy de Padilla, de 132 Kv y 110 kilómetros de longitud, que contiene dos subestaciones: una en la localidad de Yaguacua, en el sur de Bolivia, y otra en la ciudad salteña de Tartagal, Argentina.Formaron parte de la comitiva argentina el ministro de Relaciones Exteriores, Comercio Internacional y Culto, Santiago Cafiero; el secretario general de la Presidencia, Julio Vitobello; el subsecretario de Energía Eléctrica, Santiago Yanotti; la subsecretaria de Coordinación institucional de Energía, María Florencia Álvarez Travieso; y el embajador ante Bolivia, Ariel Basteiro.Por parte de Bolivia asistieron el ministro de Relaciones Exteriores, Rogelio Mayta; y el viceministro, Erwin Freddy Mamani Machaca; el ministro de Hidrocarburos y Energía, Franklin Molina; y el presidente de ENDE Corporación, Manuel Valle; el embajador de Bolivia en Argentina, Ramiro Tapia; y el director ejecutivo de la planta teromeléctrica Gran Chaco, José Luis Ábrego.  "
Alberto Fernández y Luis Arce remarcaron la importancia de incrementar el comercio bilateral y la cooperación estratégica,Jueves 01 de junio de 2023,"El presidente Alberto Fernández mantuvo hoy una reunión bilateral con su par de Bolivia, Luis Arce, con quien dialogó sobre la importancia en la cooperación en materia de litio, comercio bilateral y salud, en el marco de su visita a la localidad de Yaguacua.En materia energética los mandatarios repasaron el avance de los acuerdos suscriptos y Alberto Fernández ratificó el interés de la Argentina para el desarrollo conjunto de proyectos que involucren a toda la cadena de valor de minerales como el litio, que otorguen valor agregado a las exportaciones de ambos países y promuevan la capacitación de técnicos y científicos.Los presidentes remarcaron el potencial para incrementar y diversificar el comercio bilateral a través del trabajo conjunto entre los organismos técnicos de ambos países, con el fin de facilitar el acceso al mercado para los productos de interés de ambos países.Por otra parte, destacaron el Encuentro de Presidentes de los países de América del Sur, que se desarrolló en Brasil el martes último, ya que América del Sur se encuentra nuevamente ante la posibilidad y la necesidad de reafirmarse como región, reconstruyendo un espacio de intercambio, concertación e integración que permita el desarrollo de políticas orientadas a potenciar las capacidades individuales y construir sinergias entre sus Estados miembros.Del encuentro también participaron por Argentina el ministro de Relaciones Exteriores, Comercio Internacional y Culto, Santiago Cafiero; el secretario general de la Presidencia, Julio Vitobello; el subsecretario de Energía Eléctrica, Santiago Yanotti; la subsecretaria de Coordinación institucional de Energía, María Florencia Álvarez Travieso; y el embajador ante Bolivia, Ariel Basteiro.Mientras que por Bolivia asistieron el ministro de Relaciones Exteriores, Rogelio Mayta; y el viceministro, Erwin Freddy Mamani Machaca; el ministro de Hidrocarburos y Energía, Franklin Molina; y el presidente de ENDE Corporación, Manuel Valle.La reunión bilateral se concretó en el marco de la visita del mandatario argentino a la localidad de Yaguacua, en el sur de Bolivia, donde se inauguró el electroducto ""Juana Azurduy de Padilla”, la primera vinculación eléctrica entre ambos países que permitirá mejorar el abastecimiento de esa energía y favorecer su suministro a las poblaciones de zonas fronterizas.  "
Alberto Fernández llegó a Bolivia para inaugurar el electroducto Juana Azurduy,Jueves 01 de junio de 2023,"El presidente Alberto Fernández llegó esta tarde a la localidad boliviana de Yacuiba para inaugurar junto a su par, Luis Arce, el electroducto Juana Azurduy de Padilla, la primera vinculación de energía eléctrica entre ambos países.Con esta obra, la primera en materia de interconexión eléctrica internacional, Bolivia podrá conectarse al sistema de transporte de alta tensión, mejorando el abastecimiento de las poblaciones de las zonas fronterizas.  "
El presidente Alberto Fernández se reunió con su par de Brasil Luiz Inácio Lula da Silva,Martes 30 de mayo de 2023,"El presidente Alberto Fernández y el mandatario de Brasil, Luiz Inácio Lula da Silva, mantuvieron hoy una reunión bilateral, tras el Encuentro de Presidentes de los Países de América del Sur, realizado en Brasilia.En este contexto el presidente brasileño destacó, en particular, los avances en las conversaciones sobre la posible financiación del BNDES para las exportaciones de tubos y láminas de acero brasileños que se utilizarán en la etapa 2 de la construcción del Gasoducto Presidente Néstor Kirchner. Indicó que, en este momento, ya no existen obstáculos para la intervención del BNDES y que Brasil avanzará en el financiamiento para permitir la exportación de productos brasileños.Esto implica que Brasil financiará los tubos y chapas de acero producidos en su país para la segunda fase del gasoducto Presidente Néstor Kirchner (tramo Saliqueló - San Jeronimo), y otras partes del gasoducto norte, Salta- GNEA, Aldea Brasileira - Uruguaiana y San Jeronimo - Santa Fe.Los mandatarios también discutieron formas de profundizar la integración energética entre los países. De esta manera Argentina mejorará las condiciones de pago de las importaciones de energía eléctrica de fuente térmica.A continuación, el comunicado completo emitido por la cancillería de Brasil:Encuentro bilateral entre el Presidente de la República y el Presidente de la República Argentina, Alberto FernándezEl Presidente de la República, Luiz Inácio Lula da Silva, y el Presidente de Argentina, Alberto Fernández, se reunieron al margen del encuentro de Presidentes de los Países de América del Sur, realizado hoy en Brasilia.En la ocasión, el Presidente de la República expresó su satisfacción por las perspectivas de la visita de Estado del Presidente argentino a Brasil el próximo 26 de junio. En la ocasión, se celebrarán los 200 años de relaciones diplomáticas entre Brasil y Argentina y se deberá aprobar el Plan de Acción para el Relanzamiento de la Alianza Estratégica entre los dos países.El presidente Lula celebró que, en cumplimiento del compromiso asumido en la Declaración Conjunta de la visita oficial que realizó a la Argentina el 23 de enero, se logró avanzar en las negociaciones sobre el financiamiento de proyectos estratégicos de potencial interés binacional. Destacó, en particular, los avances en las conversaciones sobre la posible financiación del BNDES para las exportaciones de tubos y láminas de acero brasileños que se utilizarán en la etapa 2 de la construcción del Gasoducto Presidente Néstor Kirchner. Indicó que, en este momento, ya no existen obstáculos legales para la intervención del BNDES y que Brasil avanzará en financiamientos para permitir la exportación de productos brasileños.Los mandatarios también discutieron formas de profundizar la integración energética entre los países, recordando que ambos se han ayudado en los últimos años para enfrentar restricciones energéticas temporales. El presidente Lula celebró que, gracias a la disponibilidad existente en las generadoras brasileñas, Brasil podrá garantizar el suministro de energía eléctrica de fuentes térmicas a la Argentina en los próximos meses y expresó la expectativa de que el Gobierno argentino encuentre con los proveedores brasileños precios y condiciones que impliquen el menor impacto para las divisas argentinas.También expresó la voluntad brasileña de buscar soluciones para mejorar las condiciones para futuras exportaciones de energía hidroeléctrica a Argentina.El Presidente también discutió con el Presidente Fernández el avance de las conversaciones bilaterales sobre el futuro modelo de gestión del Puente São Borja-Santo Tomé, cuya actual concesión finaliza en agosto. Hay una coincidencia entre los dos mandatarios en que el puente es estratégico para el comercio bilateral.El presidente Lula señaló que se están discutiendo diferentes instrumentos de cooperación bilateral para su posible firma en el marco de la visita de Estado de junio y, en ese contexto, expresó su satisfacción por la firma, en la víspera, de protocolos de intenciones entre la Empresa Brasil de Comunicación (EBC) y tres empresas de comunicación pública argentinas, que pronto pueden dar lugar a acuerdos de cooperación.  "
Los presidentes de América del Sur alcanzaron un consenso de cooperación e integración de la región,Martes 30 de mayo de 2023,"Los presidentes de América del Sur, convocados por su par de Brasil, Luiz Inácio “Lula” da Silva, mantuvieron hoy un encuentro en el que Alberto Fernández de Argentina; Gustavo Petro de Colombia; Luis Arce de Bolivia, y Gabriel Boric de Chile, además del mandatario del país anfitrión, sintetizaron los principales puntos que previamente fueron debatidos por los 11 países.Además de los presidentes mencionados participaron de la reunión los mandatarios de Ecuador, Guillermo Lasso; de Guyana, Mohamed Irfaan Ali; de Paraguay, Mario Abdo Benítez; de Uruguay, Luis Lacalle Pou; de Surinam, Chan Santokhi, y de Venezuela, Nicolás Maduro. Por parte de Perú, asistió el presidente del Consejo de Ministros, Alberto Otárola.Tras el encuentro, Alberto Fernández destacó que los países de la región “tenemos que potenciar los acuerdos, no los desacuerdos”, porque si en lugar de potenciar los intereses comunes “se potencian los desacuerdos, todo se rompe”, aseguró.Como resultado de la reunión los 11 países aprobaron el Consenso de Brasilia que se publica a continuación:1. Por invitación del presidente de Brasil, los líderes de los países sudamericanos se reunieron en Brasilia, el 30 de mayo de 2023, para intercambiar puntos de vista y perspectivas para la cooperación e integración de Sudamérica.2. Reafirmaron la visión común de que América del Sur constituye una región de paz y cooperación, basada en el diálogo y el respeto a la diversidad de nuestros pueblos, comprometida con la democracia y los derechos humanos, el desarrollo sostenible y la justicia social, el Estado de derecho y la estabilidad institucional, la defensa de la soberanía y la no injerencia en asuntos internos.3. Coincidieron en que el mundo se enfrenta a múltiples retos, en un escenario de crisis climática, amenazas a la paz y a la seguridad internacional, presiones sobre las cadenas de alimentos y energía, riesgos de nuevas pandemias, aumento de desigualdades sociales y amenazas a la estabilidad institucional y democrática.4. Concordaron en que la integración regional debe ser parte de las soluciones para afrontar los desafíos compartidos en la construcción de un mundo pacífico; el fortalecimiento de la democracia; la promoción del desarrollo económico y social; la lucha contra la pobreza, el hambre y todas las formas de desigualdad y discriminación; la promoción de la igualdad de género; la gestión ordenada, segura y regular de migraciones; el enfrentamiento al cambio climático, incluso por medio de mecanismos innovadores de financiamiento de la acción climática, entre los cuales podría considerarse el canje, por parte de países desarrollados, de deuda por acción climática; la promoción de la transición ecológica y energética a partir de energías limpias; el fortalecimiento de las capacidades sanitarias; y el combate al crimen organizado transnacional.5. Se comprometieron a trabajar por el incremento del comercio y de las inversiones entre los países de la región; la mejora de la infraestructura y logística; el fortalecimiento de las cadenas de valor regionales; la aplicación de medidas de facilitación del comercio e integración financiera; la superación de las asimetrías; la eliminación de medidas unilaterales; y el acceso a los mercados por medio de la red de acuerdos de complementación económica, incluso en el marco de la ALADI, teniendo como meta una efectiva área de libre comercio sudamericana.6. Reconocieron la importancia de mantener el diálogo regular, con miras a impulsar el proceso de integración en América del Sur y proyectar la voz de la región en el mundo.7. Decidieron establecer un grupo de contacto, encabezado por los Cancilleres, para evaluación de las experiencias de los mecanismos sudamericanos de integración y la elaboración de una hoja de ruta para la integración de América del Sur, a ser sometida a la consideración de los Jefes de Estado.8. Acordaron promover, desde ahora, iniciativas de cooperación sudamericana, bajo un enfoque social y de género, en áreas que atañen a las necesidades inmediatas de los ciudadanos, en particular las personas en situación de vulnerabilidad, incluyendo los pueblos indígenas, tales como salud, seguridad alimentaria, sistemas alimentarios basados en la agricultura tradicional, medio ambiente, recursos hídricos, desastres naturales, infraestructura y logística, interconexión energética y energías limpias, transformación digital, defensa, seguridad e integración de fronteras, combate al crimen transnacional organizado y ciberseguridad.9. Acordaron volver a reunirse, en fecha y lugar a ser determinados, para repasar el curso de las iniciativas de cooperación sudamericana y determinar los próximos pasos a tomarse.  "
El presidente se reunió con Nicolás Maduro y le pidió que Venezuela vuelva a los organismos y foros internacionales,Martes 30 de mayo de 2023,"El presidente Alberto Fernández mantuvo una reunión bilateral con el presidente de la República Bolivariana de Venezuela, Nicolás Maduro, en el marco del Encuentro de Presidentes de los países de América del Sur, que se lleva a cabo este martes en el Palacio Itamaraty de Brasil, con el objetivo de generar consensos y reforzar los mecanismos de integración latinoamericana.En el marco de la reunión bilateral, ambas partes subrayaron la importancia de la normalización del vínculo bilateral, ya que el Embajador argentino, Oscar Laborde, presentó sus Cartas Credenciales ante el presidente Maduro el 25 de julio de 2022 y la Embajadora de Venezuela, Stella Lugo, presentó Cartas Credenciales el 29 de agosto de 2022.Durante el encuentro, del que también participaron los cancilleres Santiago Cafiero e Yván Gil Pinto, Alberto Fernández instó a su par venezolano para que su país vuelva a estar representado en foros y mecanismos internacionales, remarcando principalmente a la Comisión Interamericana de Derechos Humanos -CIDH-.Asimismo, se destacó el trabajo que ha realizado Argentina con respecto al apoyo al diálogo entre los propios venezolanos para la búsqueda de una salida política que, en el marco de sus mecanismos institucionales y constitucionales, garantice la plena vigencia de la democracia y el respeto de los derechos humanos, contribuyendo así a la recuperación de la economía venezolana y al bienestar de su gente.En ese sentido, Argentina plantea que debe acordarse una hoja de ruta con el oficialismo y la oposición donde se trabaje en las garantías para el proceso electoral del año 2024.Argentina reiteró la necesidad de que se quiten las sanciones impuestas por otros países, tal como lo ha hecho en diferentes oportunidades como la IX Cumbre de las Américas en junio de 2022 en Estados Unidos, la VII Cumbre de Jefas y Jefes de Estado y de Gobierno de la Comunidad de Estados Latinoamericanos y Caribeños (CELAC) en Buenos Aires de enero de 2023 y la Conferencia Internacional realizada en Colombia en abril de este año, ya que la salida política a la situación en la República Bolivariana de Venezuela no debe tener presiones ni condicionamientos externos para garantizar la plena vigencia de la democracia y el respeto de los Derechos Humanos.En este punto vale recordar que en el marco del Foro de la Paz de París de noviembre de 2022, los presidentes de Francia, Emmanuel Macron; de Argentina, Alberto Fernández, y de Colombia, Gustavo Petro, expresaron su pleno apoyo a la reanudación del proceso de negociación entre venezolanos en una secuencia especial sobre aquel país en la que se reunieron con los representantes para el diálogo del gobierno, Jorge Rodríguez, y de la Plataforma Unitaria de la oposición, Gerardo Blyde, así como con la ministra de Exteriores de Noruega, Anniken Huitfeldt.Asimismo, el 25 de abril de 2023 se realizó en Colombia, por convocatoria del mandatario de Colombia, una Conferencia Internacional para promover el diálogo entre representantes de la sociedad civil, la oposición y el gobierno de Venezuela, con el objetivo de reabrir caminos y construir una hoja de ruta para estimular y apoyar el diálogo.Participaron del encuentro en Colombia, además de nuestro país -representado por el canciller Santiago Cafiero-, Alemania, Barbados, Bolivia, Brasil, Canadá, Chile, España, Estados Unidos, Francia, Honduras, Italia, México, Noruega, Portugal, Reino Unido, San Vicente y las Granadinas, Sudáfrica, Türkiye y el Alto Representante para Asuntos Exteriores y Política de Seguridad Unión Europea, Josep Borrell.  "
Alberto Fernández: “UNASUR es un espacio de intereses comunes que debemos profundizar y desarrollar”,Martes 30 de mayo de 2023,"El presidente Alberto Fernández participó hoy en el Palacio Itamaraty, en Brasilia, de la primera Sesión de Trabajo del Encuentro de Presidentes de los países de América del Sur convocado por su par de Brasil, Luiz Inácio “Lula” Da Silva.“UNASUR no es un espacio ideológico, es un espacio de intereses comunes que debemos profundizar y concertar intereses sobre los que todos tengamos una misma posición frente al mundo”, afirmó el mandatario.El jefe de Estado destacó la relevancia de impulsar al organismo “en un momento donde las instituciones democráticas muestran su debilidad en la región”, y manifestó su preocupación porque “la construcción de la democracia y la preservación de los derechos humanos han sido en América Latina una lucha que costó la vida de mucha gente. Y no podemos perderla”.En este marco, el Presidente recordó que ""Néstor (Kirchner) decía: 'Los viejos moldes se han roto, los nuevos problemas requieran la generación de nuevos tipos de soluciones. No podemos encerrarnos en los viejos conceptos ni aferrarnos a lo malo conocido. El riesgo mayor que enfrentamos es temerle al cambio'”.Por su parte, Lula remarcó que “lo que nos reúne hoy en Brasilia es el sentimiento de urgencia de volver a mirar colectivamente a nuestra región”, para poder “lanzar acciones concretas para el desarrollo sostenible, la paz y el bienestar de nuestras poblaciones”.En ese sentido, puso en valor que “cuando asumí la Presidencia, el 1 de enero de este año, América del Sur volvió al centro de la actividad diplomática brasileña”, y aseguró que por ese motivo “invité a todos a la reunión de hoy, a la que seguirá, en agosto, la Cumbre de Países Amazónicos. Los elementos que nos unen están por encima de las diferencias ideológicas”.El presidente de Brasil afirmó: “No tenemos tiempo que perder. América del Sur tiene ante sí, una vez más, la oportunidad de transitar el camino de la unión. Y no hay necesidad de empezar de cero”.También participaron de la reunión los mandatarios de Bolivia, Luis Arce; de Colombia, Gustavo Petro; de Chile, Gabriel Boric; de Ecuador, Guillermo Lasso; de Guyana, Mohamed Irfaan Ali; de Paraguay, Mario Abdo Benítez; de Uruguay, Luis Lacalle Pou; de Surinam, Chan Santokhi, y de Venezuela, Nicolás Maduro. Por parte de Perú, asistió el presidente del Consejo de Ministros, Alberto Otárola.Acompañaron al jefe de Estado argentino el ministro de Relaciones Exteriores, Comercio Internacional y Culto, Santiago Cafiero; el secretario general de la Presidencia, Julio Vitobello; la portavoz de la Presidencia, Gabriela Cerruti, y el embajador en Brasil, Daniel Scioli.   "
Alberto Fernández participa en Brasilia del Encuentro de Presidentes de América del Sur,Martes 30 de mayo de 2023,"El presidente Alberto Fernández llegó al Palacio Itamaraty de Brasilia, donde participará del Encuentro de Presidentes de los países de América del Sur, convocado por el jefe de Estado de Brasil, Luiz Inácio “Lula” Da Silva, con el objetivo de generar consensos y reforzar los mecanismos de cooperación e integración regional.También participan de la cumbre los mandatarios de Bolivia, Luis Arce; de Colombia, Gustavo Petro; de Chile, Gabriel Boric; de Ecuador, Guillermo Lasso; de Guyana, Mohamed Irfaan Ali; de Paraguay, Mario Abdo Benítez; de Uruguay, Luis Lacalle Pou; de Surinam, Chan Santokhi; y de Venezuela, Nicolás Maduro. Por parte de Perú asiste el presidente del Consejo de Ministros, Alberto Otárola.  "
Alberto Fernández llegó a Brasilia para participar del Encuentro de Presidentes de los países de América del Sur,Lunes 29 de mayo de 2023,"El presidente Alberto Fernández llegó a Brasilia en donde participará del Encuentro de Presidentes de los países de América del Sur, que se llevará a cabo este martes de 10 a 18 en el Palacio Itamaraty, con el objetivo de generar consensos y reforzar los mecanismos de integración latinoamericana.El jefe de Estado viajó acompañado por el ministro de Relaciones Exteriores, Comercio Internacional y Culto, Santiago Cafiero; el secretario general de la Presidencia, Julio Vitobello y la portavoz de la Presidencia, Gabriela Cerruti. En el Aeropuerto Internacional Presidente Juscelino Kubitschek fue recibido por el embajador argentino en Brasil, Daniel Scioli.  "
